STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,YEAR,avg_temp_f,max_temp_f,min_temp_f,total_precip_in,min_precip_day,avg_wind,max_wind,total_snow
USC00103108,"FAIRFIELD RANGER STATION, ID US",43.3428,-114.7899,1543.8,2015,82.36781609195403,94.0,35.0,0.91,0.0,,,0.0
USC00103143,"FENN RANGER STATION, ID US",46.09992,-115.54467,469.4,2015,89.45652173913044,110.0,43.0,2.86,0.0,,,0.0
USC00103297,"FORT HALL 1 NNE, ID US",43.03315,-112.43245,1357.6,2015,83.91304347826087,100.0,36.0,1.18,0.0,,,0.0
USC00103448,"GARDEN VALLEY, ID US",44.1011,-115.9694,944.9,2015,88.56818181818181,106.0,36.0,2.25,0.0,,,0.0
USC00103631,"GLENNS FERRY, ID US",42.9404,-115.323,751.6,2015,93.38461538461539,114.0,41.0,0.62,0.0,,,0.0
USC00103732,"GRACE, ID US",42.56306,-111.75944,1684.9,2015,80.98795180722891,97.0,33.0,4.12,0.0,,,0.0
USC00103932,"HAGERMAN 2 SW, ID US",42.8114,-114.9239,883.0,2015,90.07608695652173,105.0,43.0,0.84,0.0,,,0.0
USC00103964,"HAMER 4 NW, ID US",43.9663,-112.2641,1460.0,2015,86.73913043478261,99.0,33.0,2.71,0.0,,,0.0
USC00104140,"HAZELTON, ID US",42.5972,-114.1378,1237.5,2015,86.12903225806451,98.0,42.0,1.24,0.0,,,0.0
USC00104154,"HEADQUARTERS 1 SSE, ID US",46.613,-115.7988,993.6,2015,79.73770491803279,99.0,34.0,2.17,0.0,,,0.0
USC00104318,"HOMEDALE 1 SE, ID US",43.6058,-116.9211,679.7,2015,91.70652173913044,106.0,43.0,0.9299999999999999,0.0,,,0.0
USC00104384,"HOWE, ID US",43.7827,-113.0033,1469.1,2015,84.67032967032966,99.0,37.0,3.83,0.0,,,0.0
USC00104455,"IDAHO FALLS KIFI, ID US",43.514,-112.0126,1445.4,2015,83.41304347826087,98.0,41.0,1.59,0.0,,,0.0
USC00104456,"IDAHO FALLS 16 SE, ID US",43.3455,-111.7847,1776.4,2015,79.83695652173913,93.0,35.0,4.18,0.0,,,0.0
USC00104598,"ISLAND PARK, ID US",44.42032,-111.37099,1917.2,2015,75.47826086956522,90.0,29.0,3.6399999999999997,0.0,,,0.0
USC00104670,"JEROME, ID US",42.7325,-114.5192,1140.0,2015,87.72826086956522,107.0,45.0,0.83,0.0,,,0.0
USC00104793,"KAMIAH, ID US",46.2299,-116.0338,368.8,2015,91.32967032967034,109.0,41.0,2.11,0.0,,,0.0
USC00104831,"KELLOGG, ID US",47.53333,-116.13333,702.6,2015,85.58536585365853,107.0,41.0,1.48,0.0,,,0.0
USC00104845,"KETCHUM RANGER STATION, ID US",43.6841,-114.3602,1795.3,2015,78.29885057471265,94.0,34.0,1.38,0.0,,,0.0
USC00105143,"LAVA HOT SPRINGS, ID US",42.6194,-112.0066,1400.6,2015,84.1413043478261,99.0,37.0,3.5500000000000003,0.0,,,0.0
USC00105177,"LEADORE NUMBER 2, ID US",44.683,-113.3622,1828.8,2015,79.1086956521739,94.0,30.0,2.16,0.0,,,0.0
USC00105275,"LIFTON PUMPING STATION, ID US",42.123,-111.3133,1809.0,2015,78.15217391304348,90.0,38.0,2.2600000000000002,0.0,,,0.0
USC00105462,"MACKAY LOST RIVER RANGER STATION, ID US",43.9178,-113.61517,1797.4,2015,80.55434782608695,96.0,38.0,3.4699999999999998,0.0,,,0.0
USC00105567,"MALTA, ID US",42.3061,-113.3688,1378.0,2015,85.07608695652173,101.0,35.0,3.21,0.0,,,0.0
USC00105678,"MASSACRE ROCKS STATE PARK, ID US",42.668,-112.998,1278.6,2015,87.3804347826087,106.0,40.0,2.06,0.0,,,0.0
USC00105685,"MAY 2 SSE, ID US",44.5663,-113.8952,1539.2,2015,84.47826086956522,100.0,33.0,3.12,0.0,,,0.0
USC00105708,"MCCALL, ID US",44.8871,-116.1046,1531.6,2015,81.16304347826087,98.0,31.0,2.99,0.0,,,0.0
USC00105716,"MCCAMMON, ID US",42.6523,-112.1935,1453.9,2015,83.82022471910112,97.0,38.0,1.36,0.0,,,0.0
