FIRE_YEAR,COUNTY,fire_count,total_acres,max_fire_size
2006,13,10,2.85,1.0
2006,15,95,40093.549999999996,35482.0
2006,17,46,1262.55,1234.0
2006,19,9,60.199999999999996,58.0
2006,21,33,3351.8,2959.0
2006,23,1,0.1,0.1
2006,25,1,0.1,0.1
2006,29,4,2.6,2.0
2006,3,40,1483.9499999999998,1202.0
2006,31,4,0.4,0.1
2006,33,1,1.0,1.0
2006,35,73,4790.9,1700.0
2006,37,41,21973.329999999998,18236.0
2006,39,25,3200.02,3185.0
2006,41,2,0.6,0.5
2006,43,10,3.9,3.0
2006,45,5,2.5,1.7
2006,49,324,72700.39,33000.0
2006,5,2,2.6,2.5
2006,55,22,11.62,6.0
2006,59,31,1185.5,1002.0
2006,65,1,0.28,0.28
2006,7,4,142.29999999999998,142.0
2006,71,4,19487.35,19482.0
2006,79,88,5782.43,4980.0
2006,83,3,8.2,8.0
2006,85,178,134869.41,43600.0
2006,87,9,67.5,60.0
2006,Ada,28,2236.5,1166.0
2006,Bannock,21,100.7,59.0
2006,Bear Lake,1,236.4,236.4
2006,Bingham,7,220414.3,220042.1
2006,Blaine,4,272.29999999999995,266.9
2006,Boise,1,324.0,324.0
2006,Bonneville,7,1423.7,881.5
2006,Butte,3,307.0,300.5
2006,Camas,1,12.5,12.5
2006,Caribou,1,0.6,0.6
2006,Cassia,29,13778.3,9041.4
2006,Clark,3,1686.7,1652.0
2006,Clearwater,1,2467.0,2467.0
2006,Custer,5,35122.8,35122.0
2006,Elmore,59,37152.9,13070.0
2006,Fremont,4,11400.900000000001,9676.6
2006,Gem,4,19.3,17.0
2006,Gooding,16,18716.3,11443.1
2006,Idaho,1,0.2,0.2
2006,Jefferson,1,3.8,3.8
2006,Jerome,14,2081.0,673.5
2006,Lemhi,11,125.2,53.0
2006,Lincoln,23,43453.6,26621.8
2006,Madison,1,2.2,2.2
2006,Minidoka,13,5681.200000000001,3905.4
2006,Oneida,15,38623.9,31568.0
2006,Owyhee,42,80582.09999999999,61929.1
2006,Payette,3,275.0,151.0
2006,Power,9,7637.2,4393.4
2006,Twin Falls,35,1933.8999999999999,977.5
2006,Washington,9,67432.7,54350.0
2007,13,11,48296.8,48000.0
2007,15,55,31302.67,20159.0
2007,17,21,5.95,3.5
2007,19,20,3778.25,3621.0
2007,21,19,26.9,17.0
2007,25,2,1.25,1.0
2007,29,7,109.6,109.0
2007,3,36,26804.23,24900.0
2007,31,16,73208.45,72361.0
2007,33,4,4.3,3.1
2007,35,28,516.1800000000001,410.0
2007,37,30,124665.31,62591.0
2007,39,9,2323.4,2309.0
2007,41,1,584.0,584.0
2007,43,19,5.15,1.5
2007,45,3,0.6499999999999999,0.3
2007,49,222,351141.13,102000.0
2007,5,5,1.05,0.5
2007,55,7,53.65,32.0
2007,59,63,40027.67,19941.0
2007,65,1,0.1,0.1
2007,7,3,0.6,0.25
2007,71,7,390.7,375.0
2007,77,1,0.1,0.1
2007,79,58,114.2,50.0
2007,81,4,38.300000000000004,38.0
2007,85,74,574737.7,174231.0
2007,87,11,23795.6,23760.0
2007,Ada,114,6557.9,2695.0
2007,Adams,1,1.2999999999999998,0.7
2007,Bannock,16,3390.9,1634.5
2007,Bear Lake,2,2950.0,2945.0
2007,Benewah,1,534.67,505.0
2007,Bingham,14,13624.3,9434.0
2007,Blaine,13,35895.1,29532.0
2007,Boise,1,43.65,20.0
2007,Bonner,0,51.400000000000006,16.8
2007,Bonneville,4,6232.3,6224.6
2007,Boundary,0,43.54,20.0
2007,Butte,4,18.3,16.0
2007,Camas,2,5480.0,5280.0
2007,Canyon,9,1113.0,512.0
2007,Caribou,3,131.8,131.4
2007,Cassia,40,20890.8,7030.0
2007,Clark,5,64.3,29.5
2007,Clearwater,0,28.8,8.0
