FIRE_YEAR,COUNTY,fire_count,total_acres,max_fire_size
2011,Clearwater,38,16.97,5.0
2011,Custer,3,0.3,0.1
2011,Elmore,41,63022.600000000006,39577.0
2011,Gem,7,1139.0,675.0
2011,Gooding,11,5357.6,4982.0
2011,Idaho,12,197.9,102.0
2011,Jerome,9,793.1,535.0
2011,Kootenai,20,17.919999999999998,9.0
2011,Latah,14,41.3,25.0
2011,Lemhi,4,0.4,0.1
2011,Lincoln,17,14001.1,13131.0
2011,Minidoka,3,6673.400000000001,6673.0
2011,Nez Perce,7,128.6,127.0
2011,Oneida,7,371.0,231.0
2011,Owyhee,38,102089.0,67061.0
2011,Payette,2,868.0,829.0
2011,Power,9,2177.3,1743.0
2011,Shoshone,7,25.2,17.3
2011,Twin Falls,12,2668.0,1063.0
2011,Valley,27,4.4,0.75
2011,Washington,2,367.0,364.0
2012,Ada,115,13181.5,2630.0
2012,Adams,3,0.3,0.1
2012,Bannock,12,2899.1,1210.0
2012,Bear Lake,4,485.0,211.0
2012,Benewah,10,3.86,1.5
2012,Bingham,11,41859.8,23051.0
2012,Blaine,13,16457.5,7935.0
2012,Boise,9,449.45,440.0
2012,Bonner,17,15.21,13.5
2012,Bonneville,16,1027.8,541.0
2012,Boundary,6,0.6000000000000001,0.1
2012,Butte,9,9197.6,8435.0
2012,Camas,1,0.1,0.1
2012,Canyon,2,8.0,5.0
2012,Caribou,5,3246.0,1736.0
2012,Cassia,20,10269.0,3217.0
2012,Clark,2,2184.0,1800.0
2012,Clearwater,32,332.58,310.0
2012,Custer,2,1.1,1.0
2012,Elmore,44,59875.7,29100.0
2012,Fremont,3,67.8,62.0
2012,Gem,1,15.5,15.5
2012,Gem,7,2163.0,1429.0
2012,Gooding,8,2674.0,1888.0
2012,Idaho,8,36.55,26.0
2012,Jefferson,3,434.8,434.0
2012,Jerome,26,2938.1,1777.0
2012,Kootenai,6,3.8,2.0
2012,Latah,17,128.8,124.0
2012,Lemhi,7,714.6,440.0
2012,Lincoln,17,200198.5,140954.0
2012,Madison,2,85.0,65.0
2012,Minidoka,6,6801.8,6558.0
2012,Nez Perce,1,0.2,0.2
2012,Oneida,9,1898.6,1295.0
2012,Owyhee,53,300590.8,210874.0
2012,Payette,3,31.0,18.0
2012,Power,8,3242.5,1573.0
2012,Shoshone,8,81.31,80.0
2012,Shoshone,1,2.0,2.0
2012,Teton,1,0.1,0.1
2012,Twin Falls,33,9877.4,6425.0
2012,Valley,11,3.6,2.0
2012,Washington,1,0.3,0.3
2013,Ada,115,5695.400000000001,1064.0
2013,Adams,4,5.05,4.2
2013,Bannock,11,1318.7,925.0
2013,Bear Lake,2,2.1,2.0
2013,Benewah,16,3.36,0.71
2013,Bingham,6,154.9,89.0
2013,Blaine,10,111635.9,111497.0
2013,Boise,17,5.1000000000000005,2.7
2013,Bonner,29,7.4,2.0
2013,Bonneville,5,305.5,225.0
2013,Boundary,14,13.2,11.0
2013,Butte,4,32.6,31.0
2013,Camas,5,30532.4,23389.0
2013,Canyon,1,0.3,0.3
2013,Caribou,5,1148.4,1142.0
2013,Cassia,9,1509.9,746.0
2013,Clark,1,0.1,0.1
2013,Clearwater,65,1341.64,1100.0
2013,Custer,2,0.2,0.1
2013,Elmore,52,159466.3,135231.0
2013,Gem,11,223.86,148.0
2013,Gooding,21,8548.6,3462.0
2013,Idaho,28,911.67,388.0
2013,Jefferson,1,2.4,2.4
2013,Jerome,14,14360.4,9499.0
2013,Kootenai,23,92.0,48.0
2013,Latah,10,3.85,1.0
2013,Lemhi,5,71.7,68.0
2013,Lewis,10,10.45,8.0
2013,Lincoln,22,26494.2,14404.0
2013,Madison,2,58.2,50.3
2013,Minidoka,1,0.1,0.1
2013,Nez Perce,7,732.7,350.0
2013,Oneida,7,15.0,10.0
2013,Owyhee,47,33973.7,5681.0
2013,Payette,3,192.1,187.0
2013,Power,4,13.9,11.8
2013,Shoshone,14,4.01,0.7
2013,Twin Falls,14,6943.0,3028.0
2013,Valley,30,12.33,6.0
2013,Washington,3,57.5,53.0
2014,Ada,167,643.5,186.0
2014,Adams,45,131.09,44.0
2014,Bannock,10,397.5,381.0
2014,Bear Lake,18,4.7,3.0
2014,Benewah,11,5.6499999999999995,2.4
2014,Bingham,9,246.8,116.0
2014,Blaine,14,742.5500000000001,728.0
2014,Boise,87,10446.5,8690.0
2014,Bonner,25,67.39999999999999,58.5
2014,Bonneville,13,448.1,189.0
2014,Boundary,21,6.3,1.8
2014,Butte,4,0.4,0.1
2014,Camas,4,1.31,0.89
2014,Canyon,3,1222.1,1206.0
2014,Caribou,2,66.1,66.0
2014,Cassia,12,1343.7,1198.0
2014,Clark,1,17.0,17.0
2014,Clearwater,84,206.28,156.0
2014,Custer,17,467.9500000000001,384.0
2014,Elmore,21,3676.75,3073.0
2014,Fremont,2,0.2,0.1
2014,Gem,13,965.12,724.0
2014,Gooding,1,3.0,3.0
2014,Idaho,216,53752.78,16278.0
2014,Jefferson,1,2.7,2.7
2014,Jerome,8,59.7,39.0
2014,Kootenai,36,208.8,121.0
2014,Latah,21,12.15,5.0
2014,Lemhi,33,521.39,470.0
2014,Lewis,3,5.9,5.0
2014,Lincoln,17,42927.6,33867.0
2014,Madison,1,8.0,8.0
2014,Nez Perce,6,65224.34,65200.0
2014,Oneida,6,329.5,324.0
2014,Owyhee,20,749.6,274.0
2014,Payette,3,9.6,8.0
2014,Power,2,91.4,87.4
2014,Shoshone,71,461.22,131.0
2014,Teton,4,0.4,0.1
2014,Twin Falls,11,730.9,354.0
