FIRE_YEAR,COUNTY,fire_count,total_acres,max_fire_size,YEAR,avg_temp_f,max_temp_f,min_temp_f,total_precip_in,avg_wind,max_wind,fire_occurred,large_fire
2006,Caribou,1,0.6,0.6,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
2006,Cassia,29,13778.3,9041.4,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Clark,3,1686.7,1652.0,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Clearwater,1,2467.0,2467.0,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Custer,5,35122.8,35122.0,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Elmore,59,37152.9,13070.0,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Fremont,4,11400.9,9676.6,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Gem,4,19.3,17.0,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
2006,Gooding,16,18716.3,11443.1,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Idaho,1,0.2,0.2,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
2006,Jefferson,1,3.8,3.8,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
2006,Jerome,14,2081.0,673.5,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
